Event Title,Event Link,Presented Name,Host Name,Hashtags,Presented Instagram,Presented LinkedIn,Presented X,Presented TikTok,Presented Website,Host Instagram,Host LinkedIn,Host X,Host TikTok,Host Website
The LA Grind: Startup Community Basketball,https://luma.com/8x7t34bs,The LA Grind,Sonja Kleven,健身; 科技,https://instagram.com/jointhelagrind,https://linkedin.com/in/justincharlesgordon,https://x.com/justingordon212,,https://www.thelagrind.com/,https://instagram.com/justingordon8,,https://x.com/justingordon212,,
Quebec Medical Design & Manufacturing VIP Welcome Breakfast,https://luma.com/79kra33b,,,Tech,,,,,,,,,,
Startup Cafe: High Five Energy Founders with Amos Stern ($500M exit to Google),https://luma.com/StartupCafeFeb4,The KINN,The KINN,Tech,https://instagram.com/thekinn.co,https://linkedin.com/company/the-kinn,,,https://thekinn.co,https://instagram.com/Leah__lu,,,,
Space Tour at NASA JPL,https://luma.com/odktxlhr,Emerging LA,Emerging LA,Tech,https://instagram.com/Emerging_LA,https://linkedin.com/company/emerging-la,https://x.com/Emerging_LA,https://tiktok.com/@emerging_la,https://www.emergingla.com,https://instagram.com/BrandonDHoffman,,https://x.com/BrandonHoffman_,,
WeAreLATech: Griffith Park Tech Walk 🚶 Winter Series Edition - LA Tech Community Walk,https://luma.com/wearelatech_griffithpark_techwalk_february2026,WeAreLATech,WeAreLATech,Fitne; Tech,https://instagram.com/wearelatech,https://linkedin.com/company/wearelatech,https://x.com/wearelatech,,https://www.wearelatech.club,https://instagram.com/wearelatech,,https://x.com/WeAreLATech,,
WeAreLATech: Westwood LA Tech Community Walk 🚶 Winter Series Edition,https://luma.com/wearelatech_westwood_techwalk_february2026,WeAreLATech,WeAreLATech,Fitne; Tech,https://instagram.com/wearelatech,https://linkedin.com/company/wearelatech,https://x.com/wearelatech,,https://www.wearelatech.club,https://instagram.com/makaryan.vis,,https://x.com/hyeastanci,,
Powering the Retail Front Line Dinner Discussion | Los Angeles,https://luma.com/powerfrontline,The Ortus Club,The Ortus Club,Tech,,,,,,https://instagram.com/theortusclub,,,,
Launchpad Session (In-Person),https://luma.com/csc2m1lt,THE BR-DGE,THE BR-DGE,Tech,,https://linkedin.com/company/the-br-dge,,,https://www.thebr-dge.space,,,,,
Climate Techies: Series A Supper Club,https://luma.com/lm7x4bd4,ClimateTechiesSocal,Anthony M. Gonzale,Climate; Tech,,https://linkedin.com/company/climatetechies-socal,,,,,,https://x.com/abusinessbanker,,
Marketing Mastermind,https://luma.com/MarketingMastermind,The KINN,The KINN,Tech,https://instagram.com/thekinn.co,https://linkedin.com/company/the-kinn,,,https://thekinn.co,https://instagram.com/Leah__lu,,,,
LA Tech Happy Hour - Venice / MdR,https://luma.com/VTHH0108,L.A. Tech Event,Nerdstage,Tech,https://instagram.com/startup_coil,,https://x.com/latechhappyhour,,https://latechhappyhour.com,https://instagram.com/latechmeetup,,https://x.com/startupcoil,,
Hiring Shouldn't Suck™ Dinner (LA Edition - 2/5/26),https://luma.com/od4x7hrw,,Brandon Amoroso,Tech,,,,,,https://instagram.com/bamoroso11,,,,
"Sunstone Stage Connects - Global Innovation Institute, in Partnership with Nasdaq Center",https://luma.com/m83l22qo,Sunstone Stage Connect,Sunstone Management,Tech,,https://linkedin.com/groups/14718332,,,https://sunstoneinvestment.com,,,https://x.com/No,,
Founders After Hours,https://luma.com/ssshmon7,,Siddharth Ramalingam,Tech,,,,,,https://instagram.com/Emerging_LA,,https://x.com/Emerging_LA,,
Friends of Figma X USC & UCLA Design Night,https://luma.com/1eihutui,Friends of Figma Los Angele,Steven HuangJessie Flore Figma TeamKelly JacksonSwaraj Saha,Tech,https://instagram.com/fof_los_angeles,https://linkedin.com/company/friends-of-figma-la,,,https://friends.figma.com/los-angeles/,https://instagram.com/swaraj11.7,,,,
Founders Running Club :: LA,https://luma.com/h239sht3,Founders Running Club,Founders Running Club,Fitne; Tech,https://instagram.com/foundersrc,https://linkedin.com/company/foundersrc,,,https://foundersrc.com,https://instagram.com/foundersrc,,,,
The LA Grind: LA Startup Community Hike,https://luma.com/LAGrindHikeJanuary,The LA Grind,Justin Gordon,Fitness; Tech,https://instagram.com/jointhelagrind,https://linkedin.com/in/justincharlesgordon,https://x.com/justingordon212,,https://www.thelagrind.com/,https://instagram.com/justingordon8,,https://x.com/justingordon212,,
Guardian Bell Exchange,https://luma.com/lpvprpo5,,ONYX Motor,Fitne; Tech,,,,,,,,,,
The LA Grind: Super Bowl Party,https://luma.com/LAGrindSuperBowl,The LA Grind,Justin Gordon,Tech,https://instagram.com/jointhelagrind,https://linkedin.com/in/justincharlesgordon,https://x.com/justingordon212,,https://www.thelagrind.com/,https://instagram.com/justingordon8,,https://x.com/justingordon212,,
LA Female Founders & Funders Lunch,https://luma.com/y0r5hl2x,"LA Female Founders, Angels, VC",Alenka Kyslik,Tech,,,,,,https://instagram.com/affirmationsmirror,,,,
SoCalSec - Happy Hour - February 2026,https://luma.com/ojiuzja4,SoCalSec,Josh Chin,Tech,https://instagram.com/socalsec,https://linkedin.com/company/socalsec,,,https://socalsec.net,,,,,
LEAF Community Connect 2026,https://luma.com/n3cek8jx,,The LEAF Community,Tech,,,,,,,,,,
"n8n Builder Sessions: Los Angeles, CA [Intermediate level]",https://luma.com/62eulvmi,n8n Community Event,n8n,AI; Tech,,https://linkedin.com/company/n8n,,,https://n8n.io/,,,https://x.com/n8n_io,,
Space Beach Industry Reception with Artist Richelle Ellis,https://luma.com/e4brqnsu,Space Beach Law Lab,Drea Bernardi,Arts & Culture; Tech,https://instagram.com/spacelawlab,https://linkedin.com/company/space-beach-law-lab,,,https://www.spacelawlab.com,,,,,
Building in Health & Longevity,https://luma.com/k3rcotxi,,Aaron Miller,科技; 健康,,,,,,https://instagram.com/ajmiller0,,,,
Demo Day LA - Feb 2026,https://luma.com/demodayLAFeb,Nerdstage,Nerdstage,Tech,https://instagram.com/startup_coil,https://linkedin.com/company/nerdstagehq,,https://tiktok.com/@nerdstagehq,https://nerdstage.com,https://instagram.com/latechmeetup,,https://x.com/startupcoil,,
"HIGH FIVE ENERGY Book Launch: Meet 5 Legendary Founders, $6B+ in Exit",https://luma.com/HIGHFIVEENERGYBOOKLAUNCHEVENT,The KINN,The KINNJeffrey Chernick,テック,https://instagram.com/thekinn.co,https://linkedin.com/company/the-kinn,,,https://thekinn.co,https://instagram.com/Leah__lu,,,,
Beyond the Game: The Business of Ownership @AllStar Weekend,https://luma.com/wyiljh1o,,Mariyam Shamshidova,Tech,,,,,,https://instagram.com/wefranch_,,https://x.com/wefranch,,
The LA Grind x Long Angle: NBA All-Star Weekend Kickoff Dinner Party,https://luma.com/LAGrindLongAngleNBAASW,The LA Grind,Justin Gordon,Arts & Culture; Food & Drink; Tech,https://instagram.com/jointhelagrind,https://linkedin.com/in/justincharlesgordon,https://x.com/justingordon212,,https://www.thelagrind.com/,https://instagram.com/jourdainbell_,,https://x.com/justingordon212,,
"POSTPONED, Date TBD: Robotics and Simulations using Open 3D Engine and ROS2 - Robot Operating System - SGVLUG Monthly Meeting Presentation",https://luma.com/90w7c4b8,,JT Nelson @ SCB group / GOS,AI; 테크,,,,,,,,,,
"Google Office Visit: Playa Vista, Los Angeles",https://luma.com/0gvq646i,She's New To America Pro,Maria Gordienko,Tech,,https://linkedin.com/company/new-to-america-pro,,,https://community.newtoamerica.pro/,,,,,
LA Demos Featuring Demo Roulette,https://luma.com/7fgg762n,,Michael Morgan,Tech,,,,,,,,,,
TruNorth & Wheelhouse Present: The Business of Sports: Where Culture Meets the Court,https://luma.com/ha0hlpme,,Jason John,Tech,,,,,,,,,,
Founders Basketball @ NBA All-Star Weekend!,https://luma.com/2x7w1hgu,New Edition Event,Brandon Blum,Fitness; Tech,https://instagram.com/itsanewedition,https://linkedin.com/company/neweditionmedia,,,https://neweditionconsulting.com,https://instagram.com/yaboyeroy,,https://x.com/n,,
South Asians in Sports - NBA All-Star Networking Mixer,https://luma.com/7b7hvwjh,South Asians in Sport,,Tech,https://instagram.com/sainsports,https://linkedin.com/company/sainsports,,,https://www.sainsports.com/,https://instagram.com/svaman89,,,,
Cursor Meetup LA (Downtown LA),https://luma.com/u7tgj3tv,Cursor Community,Joe L,AI; Tech,,,https://x.com/cursor_ai,,https://cursor.com,,,,,
Amazon Quick User Group - Los Angeles Area (Santa Monica),https://luma.com/r0k9t7ur,,Adaline Bray,AI; Tech,,,,,,,,,,
Startup Career Fair @ USC,https://luma.com/58e8ateg,,Diora Juraboeva,科技,,,,,,https://instagram.com/diorajj,,,,
Deal Flow Invitational,https://luma.com/ka7un04c,,Anthony M. Gonzale,Fitne; Tech,,,,,,,,https://x.com/abusinessbanker,,
AfterShip Shop & Supper Series: Golden Hour at Mejuri Venice,https://luma.com/h2ey8ig7,,Joshua Gorospe,Tech,,,,,,https://instagram.com/gorgias.io,,https://x.com/gorgiasio,,
High Five Energy Founders w/ Mike Jones of Science (Billions in Exits),https://luma.com/HighFiveEnergy,weeklyHap,Schmoozd,Tech,,,,,,,,https://x.com/schmoozd,,
AHN x Cooley: Building Bravely in 2026,https://luma.com/606ja47f,,Asian Hustle Network,Tech,,,,,,https://instagram.com/asianhustlenetwork,,https://x.com/asianhustlentwk,,
[Climate Circuit] 2026 Meetup for Climate People,https://luma.com/9gwoi1bd,Los Angele,Kyle Brauer,Climate; Tech,,,,,,,https://www.linkedin.com/company/climate-circuit/,,,
Coffee Meetup: LA Founders & Investor,https://luma.com/lmgxo8hy,Join The Agency,Charleen Kao,Tech,https://instagram.com/jointheagency.co,https://linkedin.com/in/jointheagency,https://youtube.com/@jointheagency,,https://jointheagency.co,https://instagram.com/rawrrritschar,,https://x.com/charleenkao,,
Future of Us: /dev/color LA Kickoff Mixer,https://luma.com/91fcjswt,Future Of Us: /dev/color 2026 Kickoff,Ravyn William,Tech,,,,,https://devcolor.org/,https://instagram.com/sbarriostech,,https://x.com/yourmobilegeek,,
"TechWalk | Los Angeles, 2/21",https://luma.com/rustr1t1,TechWalk,Caroline Gome,Fitne; Tech,https://instagram.com/techwalk.co,https://linkedin.com/company/techwalk,,,https://www.techwalk.co/,https://instagram.com/marianasmall,,https://x.com/techwalk_co,,
Applied Machine Learning and AI Advancing Human Health,https://luma.com/0el2aqmb,,,AI; Tech,,,,,,,,,,
Newegg x WD x UGreen Design Challenge,https://luma.com/jaf1ml4x,,deniz,Tech,,,,,,,,,,
Tech + Trails: February 2026 Hike by Salehpour Legal,https://luma.com/cm2vmwq0,,Morvareed Salehpour - Salehpour Legal,Fitne; Tech,,,,,,https://instagram.com/salehpourlaw,,https://x.com/salehpourlaw,,
February Meetup,https://luma.com/0nwn2lx9,SoCal Python,Stephen,科技,,,,,https://socalpython.com/,,,,,
